Taxa,Year,Quantity,Frequency,Kingdom,Phylum,Class,Order,Family,Genus,Species
Acanthurus lineatus,2016,31,12,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus
Acanthurus lineatus,2017,13,6,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus
Acanthurus lineatus,2018,11,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus
Acanthurus lineatus,2019,24,6,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus
Acanthurus maculiceps,2017,3,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus maculiceps
Acanthurus maculiceps,2019,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus maculiceps
Acanthurus nigricans,2016,10,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricans
Acanthurus nigricans,2017,16,5,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricans
Acanthurus nigricans,2018,11,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricans
Acanthurus nigricans,2019,19,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricans
Acanthurus nigricauda,2016,4,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricauda
Acanthurus nigricauda,2017,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricauda
Acanthurus nigricauda,2019,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigricauda
Acanthurus nigrofuscus,2019,6,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus
Acanthurus olivaceus,2015,7,5,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Acanthurus olivaceus,2016,11,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Acanthurus olivaceus,2017,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Acanthurus olivaceus,2018,6,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Acanthurus olivaceus,2019,32,5,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus olivaceus
Acanthurus pyroferus,2016,7,4,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus pyroferus
Acanthurus pyroferus,2018,5,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus pyroferus
Acanthurus pyroferus,2019,7,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus pyroferus
Acanthurus sohal,2016,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus sohal
Acanthurus sohal,2017,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus sohal
Acanthurus sohal,2018,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus sohal
Acanthurus sohal,2019,5,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus sohal
Acanthurus tennentii,2016,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus tennentii
Acanthurus tennentii,2019,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus tennentii
Acanthurus triostegus,2015,20,6,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Acanthurus triostegus,2016,14,5,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Acanthurus triostegus,2017,8,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Acanthurus triostegus,2018,10,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Acanthurus triostegus,2019,16,4,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Acanthurus xanthopterus,2017,7,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus xanthopterus
Acanthurus xanthopterus,2018,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus xanthopterus
Acanthurus xanthopterus,2019,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus xanthopterus
Acantopsis dialuzona,2019,175,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Acantopsis,Acantopsis dialuzona
Acarichthys heckelii,2018,80,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Acarichthys,Acarichthys heckelii
Acreichthys tomentosus,2019,4,2,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Acreichthys,Acreichthys tomentosus
Acropora anthocercis,2016,3,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora anthocercis
Acropora divaricata,2017,2,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora divaricata
Acropora hyacinthus,2017,1,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus
Acropora loripes,2017,4,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora loripes
Acropora microclados,2016,6,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora microclados
Acropora robusta,2017,3,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora robusta
Acropora samoensis,2017,3,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora samoensis
Acropora sarmentosa,2017,2,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora sarmentosa
Acropora secale,2017,2,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora secale
Acropora sp.,2015,344,7,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,NA
Acropora sp.,2016,413,38,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,NA
Acropora sp.,2017,20,5,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,NA
Acropora sp.,2018,37,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,NA
Acropora sp.,2019,100,8,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,NA
Acropora spathulata,2016,6,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora spathulata
Acropora tenuis,2017,3,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora tenuis
Actinia sp.,2019,30,5,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,NA
Actinodendron arboreum,2016,2,1,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinodendridae,Actinodendron,Actinodendron arboreum
Agamyxis pectinifrons,2016,80,1,Animalia,Chordata,Actinopterygii,Siluriformes,Doradidae,Agamyxis,Agamyxis pectinifrons
Alcyonium sp.,2017,3,1,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,NA
Altolamprologus compressiceps,2015,125,7,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Altolamprologus,Altolamprologus compressiceps
Altolamprologus compressiceps,2016,293,10,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Altolamprologus,Altolamprologus compressiceps
Altolamprologus compressiceps,2017,45,5,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Altolamprologus,Altolamprologus compressiceps
Altolamprologus compressiceps,2018,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Altolamprologus,Altolamprologus compressiceps
Alveopora minuta,2019,6,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,Alveopora minuta
Alveopora sp.,2017,5,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,NA
Alveopora spongiosa,2017,15,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,Alveopora spongiosa
Amatitlania nigrofasciata,2015,65,4,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amatitlania,Amatitlania nigrofasciata
Ambastaia sidthimunki,2015,1920,5,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Ambastaia,Ambastaia sidthimunki
Ambastaia sidthimunki,2016,2090,7,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Ambastaia,Ambastaia sidthimunki
Ambastaia sidthimunki,2017,1600,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Ambastaia,Ambastaia sidthimunki
Ambastaia sidthimunki,2018,1775,7,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Ambastaia,Ambastaia sidthimunki
Ambastaia sidthimunki,2019,950,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Ambastaia,Ambastaia sidthimunki
Amblyeleotris aurora,2015,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris aurora
Amblyeleotris callopareia,2016,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris callopareia
Amblyeleotris diagonalis,2015,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris diagonalis
Amblyeleotris diagonalis,2016,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris diagonalis
Amblyeleotris diagonalis,2018,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris diagonalis
Amblyeleotris diagonalis,2019,10,2,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris diagonalis
Amblyeleotris guttata,2015,44,6,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris guttata
Amblyeleotris guttata,2016,29,6,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris guttata
Amblyeleotris guttata,2017,47,5,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris guttata
Amblyeleotris guttata,2019,16,2,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris guttata
Amblyeleotris randalli,2015,3,3,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris randalli
Amblyeleotris randalli,2016,14,4,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris randalli
Amblyeleotris sp.,2015,8,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,NA
Amblyeleotris wheeleri,2015,37,7,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris wheeleri
Amblyeleotris wheeleri,2016,31,4,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris wheeleri
Amblyeleotris wheeleri,2019,8,2,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblyeleotris,Amblyeleotris wheeleri
Amblygobius phalaena,2015,20,7,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblygobius,Amblygobius phalaena
Amblygobius phalaena,2016,12,3,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblygobius,Amblygobius phalaena
Amblygobius phalaena,2017,7,4,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblygobius,Amblygobius phalaena
Amblygobius phalaena,2019,7,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Amblygobius,Amblygobius phalaena
Amphilophus citrinellus,2015,110,3,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Amphilophus citrinellus
Amphilophus citrinellus,2016,90,4,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Amphilophus citrinellus
Amphilophus citrinellus,2019,60,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Amphilophus,Amphilophus citrinellus
Amphiprion akallopisos,2016,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion akallopisos
Amphiprion akallopisos,2017,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion akallopisos
Amphiprion akallopisos,2018,10,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion akallopisos
Amphiprion bicinctus,2019,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion bicinctus
Amphiprion chrysopterus,2015,2,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion chrysopterus
Amphiprion chrysopterus,2019,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion chrysopterus
Amphiprion clarkii,2015,6,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion clarkii
Amphiprion clarkii,2016,31,4,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion clarkii
Amphiprion clarkii,2017,16,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion clarkii
Amphiprion clarkii,2019,7,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion clarkii
Amphiprion ephippium,2016,16,5,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ephippium
Amphiprion frenatus,2015,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion frenatus
Amphiprion frenatus,2016,4,4,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion frenatus
Amphiprion frenatus,2017,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion frenatus
Amphiprion frenatus,2019,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion frenatus
Amphiprion melanopus,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion melanopus
Amphiprion ocellaris,2015,493,40,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ocellaris
Amphiprion ocellaris,2016,605,36,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ocellaris
Amphiprion ocellaris,2017,242,20,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ocellaris
Amphiprion ocellaris,2018,66,5,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ocellaris
Amphiprion ocellaris,2019,24,4,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ocellaris
Amphiprion percula,2015,121,6,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion percula
Amphiprion percula,2016,179,12,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion percula
Amphiprion percula,2017,266,15,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion percula
Amphiprion percula,2018,6,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion percula
Amphiprion percula,2019,4,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion percula
Amphiprion perideraion,2015,7,4,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion perideraion
Amphiprion perideraion,2016,13,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion perideraion
Amphiprion perideraion,2017,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion perideraion
Amphiprion perideraion,2019,11,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion perideraion
Amphiprion polymnus,2016,14,6,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion polymnus
Amphiprion sandaracinos,2015,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion sandaracinos
Amphiprion sandaracinos,2016,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion sandaracinos
Amphiprion sandaracinos,2017,23,7,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion sandaracinos
Amphiprion sebae,2015,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion sebae
Amphiprion sebae,2017,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion sebae
Amplexidiscus fenestrafer,2016,6,1,Animalia,Cnidaria,Anthozoa,Corallimorpharia,Discosomidae,Amplexidiscus,Amplexidiscus fenestrafer
Anampses meleagrides,2015,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Anampses,Anampses meleagrides
Anampses meleagrides,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Anampses,Anampses meleagrides
Ancistrus cirrhosus,2016,250,2,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus cirrhosus
Ancistrus cirrhosus,2017,240,1,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus cirrhosus
Ancistrus cirrhosus,2019,80,2,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus cirrhosus
Ancistrus dolichopterus,2015,10,1,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus dolichopterus
Ancistrus dolichopterus,2018,322,4,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus dolichopterus
Ancistrus lineolatus,2016,60,1,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus lineolatus
Ancistrus sp.,2015,1880,13,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA
Ancistrus sp.,2017,1450,10,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA
Ancistrus sp.,2018,4076,30,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA
Ancistrus sp.,2019,1466,21,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA
Ancistrus temminckii,2016,10,1,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus temminckii
Ancistrus temminckii,2019,839,7,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus temminckii
Andinoacara pulcher,2015,15,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Andinoacara,Andinoacara pulcher
Andinoacara pulcher,2016,30,2,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Andinoacara,Andinoacara pulcher
Andinoacara pulcher,2018,385,8,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Andinoacara,Andinoacara pulcher
Andinoacara pulcher,2019,150,2,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Andinoacara,Andinoacara pulcher
Andinoacara rivulatus,2016,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Andinoacara,Andinoacara rivulatus
Andinoacara rivulatus,2018,80,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Andinoacara,Andinoacara rivulatus
Antennarius hispidus,2015,4,3,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Antennarius,Antennarius hispidus
Antennarius hispidus,2016,4,3,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Antennarius,Antennarius hispidus
Antennarius hispidus,2017,1,1,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Antennarius,Antennarius hispidus
Antennarius pictus,2016,1,1,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae,Antennarius,Antennarius pictus
Aphyocharax nattereri,2018,325,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax nattereri
Aphyocharax rathbuni,2015,1315,3,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax rathbuni
Aphyocharax rathbuni,2016,815,2,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax rathbuni
Aphyocharax rathbuni,2018,1275,4,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax rathbuni
Aphyocharax rathbuni,2019,375,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax rathbuni
Aphyosemion australe,2015,20,2,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Aphyosemion australe
Aphyosemion australe,2016,30,3,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Aphyosemion australe
Aphyosemion australe,2017,100,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Aphyosemion australe
Aphyosemion australe,2018,20,2,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Aphyosemion australe
Aphyosemion bivittatum,2017,100,2,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Aphyosemion bivittatum
Aphyosemion bivittatum,2018,10,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Aphyosemion,Aphyosemion bivittatum
Apistogramma agassizii,2015,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma agassizii
Apistogramma agassizii,2016,230,4,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma agassizii
Apistogramma agassizii,2017,210,3,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma agassizii
Apistogramma agassizii,2018,425,4,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma agassizii
Apistogramma agassizii,2019,430,7,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma agassizii
Apistogramma bitaeniata,2016,40,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma bitaeniata
Apistogramma borellii,2016,100,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma borellii
